movieId,title,Plot,actors,director,runtime,cert,imdb_rating,imdb_id,poster
1,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,81,G,8.3,tt0114709,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
2,Jumanji,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",Joe Johnston,104,PG,6.9,tt0113497,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
3,Grumpier Old Men,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",Howard Deutch,101,PG-13,6.6,tt0113228,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
4,Waiting to Exhale,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",Forest Whitaker,124,R,5.8,tt0114885,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
5,Father of the Bride Part II,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",Charles Shyer,106,PG,6.0,tt0113041,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
6,Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,170,R,8.2,tt0113277,https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
7,Sabrina,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden",Billy Wilder,113,NOT RATED,7.7,tt0047437,https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
8,Tom and Huck,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",Peter Hewitt,97,PG,5.6,tt0112302,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
9,Sudden Death,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",Peter Hyams,111,R,5.7,tt0114576,https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
10,GoldenEye,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",Martin Campbell,130,PG-13,7.2,tt0113189,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg
